BioticID;SpeciesName;ResearchedBy;DataSuppliedBy;RefereedBy;Phylum;Class;Ordr;Family;Genus;Species;FoodType;Size;Flexibility;Fragility;Habit;Bioturbator;GrowthRate;DispPotAdult;Dependency;Sociability;Regeneration;Toxic;LifeSpan;Maturity;GenerationTime;ReprodFreq;ReprodSeason;LarvalSettlePeriod;Fecundity;EggSize;FertilizationType;DispPotLarvae;LarvalSettlingTime;ReprodLocation;BiogeographicRange;DepthRange;Migratory;biozone;devmech;envpos;feedingmethod;growthform;mobility;physpref;reprodtype;salinity;substratum;waterflow;waveexp
4114;Ostrea edulis;Angus Jackson;<em>MarLIN</em>;This information is not refereed.;Mollusca;Pelecypoda;Ostreoida;Ostreidae;Ostrea;edulis;Suspended organic particles.;Small-medium(3-10cm);None (< 10 degrees);Robust;Attached;Not relevant;Insufficient information;None;Independent;Gregarious;0;;6-10 years;3-5 years;Insufficient information;Annual protracted;June to September;Insufficient information;Up to 2,000,000 in large females;ca 150 &#181;;;;;;;;;;;;;;;;;;;
4127;Liocarcinus depurator;Lizzie Tyler;University of Sheffield;This information is not refereed.;Crustacea;Eumalacostraca;Decapoda;Portunidae;Liocarcinus;depurator;Polychaetes, crustaceans, molluscs, ophiuroids and fishes constitute most of the  diet (Freire, 1996).;Small-medium(3-10cm);None (< 10 degrees);Fragile;Free living;Not relevant;Insufficient information;1km-10km;Independent;Solitary;0;;Insufficient information;1 year;Insufficient information;Annual protracted;Year round;Insufficient information;130000;;Internal;Insufficient information;;Water column;Not researched;0 - 450 m;Insufficient info.;Sublittoral Fringe (7);;;;;;;;;;;
4129;Cancer pagurus;Ken Neal & Emily Wilson;<em>MarLIN</em>;This information is not refereed.;Crustacea;Eumalacostraca;Decapoda;Cancridae;Cancer;pagurus;A variety of live molluscs and crustaceans as well as carrion.;Medium-large(21-50cm);None (< 10 degrees);Intermediate;Free living;Not relevant;0.1-1 cm/year;1km-10km;Independent;Solitary;0;;21-50 years;6-10 years;11-20 years;Annual episodic;Winter;Insufficient information;250,000 - 3,000,000 eggs per female;Insufficient information;Internal;>10km;1-6 months;As adult;Not researched;From intertidal down to 100m;Non-migratory / Resident;Mid Eulittoral (5);;;;;;;;;;;
4132;Metridium senile;Dr Keith Hiscock & Emily Wilson;<em>MarLIN</em>;This information is not refereed.;Cnidaria;Hexacorallia;Actiniaria;Metridiidae;Metridium;senile;Zooplankton but also larger prey. (See additional information.);Medium-large(21-50cm);High (>45 degrees);Intermediate;Erect;Not relevant;9 cm/month;<10m;Independent;Gregarious;0;;11-20 years;Insufficient information;Insufficient information;Insufficient information;August to September;Insufficient information;Insufficient information;Insufficient information;External;>10km;1-6 months;Water column;Not researched;Lower shore to considerable depths.;Non-migratory / Resident;Sublittoral Fringe (7);;;;;;;;;;;
4133;Alcyonium digitatum;Georgina Budd;<em>MarLIN</em>;Dr Richard G. Hartnoll;Cnidaria;Octocorallia;Alcyonacea;Alcyoniidae;Alcyonium;digitatum;Phytoplankton & zooplankton;Medium(11-20 cm);Low (10-45 degrees);Fragile;Erect;Not relevant;Insufficient information;>10km;Independent;Colonial;1;;21-50 years;2-3 years;1-2 years;Annual episodic;December to February;January to February;1,000 - 100,000;500 &#181;;;;;;;;;;;;;;;;;;;
4134;Psammechinus miliaris;Lizzie Tyler;University of Sheffield;This information is not refereed.;Echinodermata;Echinoidea;Echinoida;Paechinidae;Psammechinus;miliaris;Macroalgae, hydroids, bryozoans, boring sponges, barnacles, mussels, cockles and worms (see Lawrence, 1975).;Small-medium(3-10cm);None (< 10 degrees);Fragile;Free living;Not relevant;See additional information;100-1000m;Independent;Gregarious;0;;6-10 years;1 year;1 year;Annual protracted;June to August in UK;Insufficient information;2500000;;External;>10km;1-2 months;Water column;Not researched;0 - 100 m;Non-migratory / Resident;Mid Eulittoral (5);;;;;;;;;;;
4137;Asterias rubens;Georgina Budd;<em>MarLIN</em>;Prof. David Nichols;Echinodermata;Asteroidea;Forcipulatida;Asteriidae;Asterias;rubens;Bivalves, polychaetes, small crustaceans, other echinoderms and carrion.;Medium-large(21-50cm);High (>45 degrees);Intermediate;Free living;Not relevant;0.2-1 cm/month;1km-10km;Independent;Solitary;1;;6-10 years;1 year;1-2 years;Annual episodic;February to April;See additional information;Large females can spawn 2.5 million eggs;Insufficient information;External;>10km;1-6 months;Water column;Not researched;Intertidal to depths of 650 m.;Non-migratory / Resident;Lower Eulittoral (6);;;;;;;;;;;
4139;Ophiothrix fragilis;Lizzie Tyler;University of Sheffield;This information is not refereed.;Echinodermata;Ophiuroidea;Ophiurida;Ophiotrichidae;Ophiothrix;fragilis;Phytoplankton;Medium(11-20 cm);Low (10-45 degrees);Fragile;Free living;Not relevant;average 1.1mm increase disc diameter per month;1km-10km;Independent;Gregarious;1;;6-10 years;<1 year;Insufficient information;Annual episodic;June to October;August to September;;;Insufficient information;>10km;11-30 days;Insufficient information;Not researched;;Non-migratory / Resident;Lower Eulittoral (6);;;;;;;;;;;
4215;Pisidia longicornis;Lizzie Tyler;University of Sheffield;This information is not refereed.;Crustacea;Eumalacostraca;Decapoda;Porcellanidae;Pisidia;longicornis;No text entered;Small(1-2cm);None (< 10 degrees);Fragile;Free living;Not relevant;Insufficient information;100-1000m;Independent;Solitary;0;;3-5 years;;Insufficient information;Annual episodic;March to August;Insufficient information;;;Insufficient information;>10km;1-2 months;Insufficient information;Not researched;0 - 100 m;Non-migratory / Resident;Mid Eulittoral (5);;;;;;;;;;;
4232;Urticina felina;Angus Jackson & Dr Keith Hiscock;<em>MarLIN</em>;Prof. Daphne Fautin;Cnidaria;Hexacorallia;Actiniaria;Actiniidae;Urticina;felina;See additional information.;Medium(11-20 cm);High (>45 degrees);Intermediate;Attached;Not relevant;Insufficient information;Very limited (<1m);Independent;Solitary;0;;21-50 years;See additional information;Insufficient information;Annual protracted;April to June;Insufficient information;Insufficient information;500-700 micrometres;External;See additional information;11-30 days;Water column;Not researched;Down to at least 100m;Non-migratory / Resident;Lower Eulittoral (6);;;;;;;;;;;
4236;Pecten maximus;Charlotte Marshall & Emily Wilson;<em>MarLIN</em>;Andy Beaumont;Mollusca;Pelecypoda;Ostreoida;Pectinidae;Pecten;maximus;Seston including phytoplankton, especially single celled algae,  particulate organic matter (POM), bacteria and other micro-organisms (Fegley <I>et al.</I>, 1992;;;;;;;;;;;;;;;Insufficient information;;;;;;;;;;;;;;;;;;;;;;;
